İl (Plaka Kodu),m² (Brüt) ,m² (Net),Oda Sayısı,Salon Sayısı,Bulunduğu Kat,Kat Sayısı,Banyo Sayısı,Doğalgazlı,Eşyalı,Site İçerisinde,Bina Yaşı,Fiyat
64,160,140,3,1,3,6,1,1,0,0,23,260000
64,330,250,5,1,10,11,2,1,0,1,7,645000
64,155,145,3,1,2,3,1,1,0,0,0,365000
64,155,140,3,1,2,9,2,1,0,1,13,310000
64,180,155,3,1,1,11,2,1,0,1,0,420000
64,100,90,2,1,3,4,1,1,0,0,0,213000
64,130,120,3,1,5,8,1,1,0,0,3,225000
64,45,40,1,1,3,4,1,1,1,0,4,135000
64,90,85,2,1,2,2,1,1,0,0,23,250000
64,105,95,2,1,3,4,1,1,0,0,0,280000
64,55,55,2,0,3,3,1,1,1,0,3,155000
64,195,175,4,1,1,7,2,1,0,1,3,460000
64,45,43,1,1,2,4,1,1,1,0,3,95000
64,145,120,3,1,3,6,1,1,0,0,0,395000
64,150,150,3,1,1,10,2,1,0,1,1,340000
64,140,130,3,1,3,3,1,1,0,0,0,315000
64,145,135,3,1,2,2,1,1,0,0,7,340000
64,253,130,3,1,2,3,1,1,0,0,10,280000
64,150,145,3,1,1,4,1,1,0,0,7,298000
64,105,95,2,1,1,5,1,1,0,0,1,265000
64,185,160,3,1,5,9,2,1,0,1,0,457000
64,130,120,3,1,5,5,1,1,0,0,0,299000
64,350,320,5,1,6,6,2,1,0,1,18,450000
64,50,45,1,1,2,2,1,1,0,0,0,115000
64,140,122,3,1,8,8,1,1,0,1,3,345000
64,135,125,3,1,3,5,1,1,0,0,0,287000
64,320,300,5,1,3,3,2,1,0,0,3,520000
64,130,120,4,2,5,5,1,1,0,0,23,245000
64,120,100,2,1,1,4,1,1,0,0,4,195000
64,163,150,3,1,1,6,1,1,0,0,13,295000
64,65,56,2,1,7,7,1,1,1,0,6,175000
64,160,148,3,1,4,4,1,1,0,0,3,350000
64,156,140,3,1,2,3,1,1,0,0,22,264000
64,210,192,4,1,3,9,3,1,0,1,0,584000
64,182,155,3,1,4,12,2,1,0,1,1,670000
64,105,95,2,1,1,4,1,1,0,0,0,240000
64,115,95,2,1,3,3,1,1,0,0,4,318000
64,150,136,3,1,6,7,1,1,0,0,21,365000
64,50,45,1,1,3,4,1,1,1,0,2,135000
64,100,92,2,1,2,2,1,1,0,0,2,247000
64,125,125,2,1,2,5,1,1,0,0,6,329000
64,120,100,2,1,1,3,1,1,0,0,1,265000
64,110,110,2,1,2,4,1,1,0,0,4,280000
64,110,110,2,1,4,4,1,1,0,0,7,265000
64,150,136,3,1,6,7,1,1,0,0,12,310000
64,120,120,3,1,1,8,1,1,0,1,3,315000
64,135,125,3,1,1,6,1,1,0,0,6,360000
64,150,150,3,1,1,8,2,1,0,0,7,360000
64,165,165,3,1,1,8,2,1,0,1,4,375000
64,160,150,3,1,2,9,2,1,0,1,17,295000
64,130,120,3,1,2,4,1,1,0,0,12,255000
